clinicalSignID,clinicalSignName,alternativeName,clinicalSignDescription,clinicalSignReference
95,large bowel diarrhea,,Colitis simply refers to inflammation of the large intestine (colon). Colitis is most commonly used to describe diarrhea or loose stools associated with the large bowel.,https://vcahospitals.com/know-your-pet/colitis-in-dogs
96,lethargy,"dullness, depression, lethargic, depressed",Lethargy is defined as a lack of energy and enthusiasm. A dog that is lethargic is unusually inactive and not interested in getting up and doing normal activities. ,https://www.petmd.com/dog/symptoms/why-my-dog-lethargic
97,lichenification,,"Lichenification is a term to describe hard, thickened areas of skin. These areas usually form due to repeated rubbing or scratching.",https://www.medicalnewstoday.com/articles/lichenification#Pictures
98,licking,,"Excessive licking, however, occurs when a dog experiences negative effects from constant licking. This may include hair loss or bald patches, red areas on the skin, pimple-like lesions, dandruff, skin or coat discoloration, yellow or green discharge, or even limping.",https://www.petmd.com/dog/general-health/excessive-licking-chewing-and-grooming-dogs
99,lockjaw,"inability to open and/or close jaw, inability to open and/or close mouth",Lockjaw in dogs is a rare condition that refers to the animal’s inability to either open or close their mouth,https://www.petmd.com/dog/conditions/mouth/lockjaw-dogs
101,lymphadenopathy,"enlargement of multiple lymph nodes, enlarged lymph nodes, swelling lymph nodes, mass lymph nodes","Lymph nodes are small, bean-shaped organs that contain immune cells. When your dog’s body is invaded by viruses or bacteria, or your dog has a disease that triggers an immune response, the lymph nodes become enlarged as they work to fight off the invader. Swollen lymph nodes are called lymphadenopathy ",https://www.petmd.com/dog/conditions/cancer/c_multi_lymphadenopathy
102,malaise,discomfort,"Dogs feel pain just like humans do, but they don’t always show it in the same ways. A dog’s pain can become evident through physical symptoms, behavioral changes, and/or mobility issues. ",https://www.petmd.com/dog/care/evr_dg_managing_pain_in_dogs
103,malodor,"foul-odor, foul-smelling","Whether putrid or pungent, dog smells should be taken seriously since a bad odor may be a sign of a serious disease.",https://www.petmd.com/dog/slideshows/6-reasons-your-dog-smells-bad
104,melena,"occult blood in feces, black and tarry stools","Melena, in dogs, is the presence of digested blood in the feces and makes the stools appear black and tarry. ",https://www.petplace.com/article/dogs/pet-health/melena-blood-in-stool-in-dogs/
105,meningoencephalitis,,Meningoencephalitis is a term referring to inflammation of the brain and the surrounding fluid and tissues.,https://vcahospitals.com/know-your-pet/meningoencephalitis-of-unknown-origin
106,moist skin,,"A moist, inflamed, red, weepy, clearly defined spot on a dog’s skin is often referred to as a hot spot.",https://vetster.com/en/conditions/dog/hot-spots-pyotraumatic-dermatitis-in-dogs
107,mouth ulcer,,Oral ulceration and chronic ulcerative paradental stomatitis (CUPS) is a disease of the mouth which causes painful ulcers on the gums and mucosal lining of the mouth cavity.,https://www.petmd.com/dog/conditions/mouth/c_dg_oral_ulceration_cups
108,mucoid diarrhea,,Excessive amounts of mucus in your dog’s poop may indicate a medical condition that needs veterinary attention. ,https://www.petmd.com/dog/conditions/digestive/how-treat-mucus-stool-dogs
109,mucoid stool,,"Mucus in dog poop will look like a slimy or greasy gel in the feces. It can cover the entire poop or be present in certain parts of the fecal matter (beginning, end, or dispersed). A small amount of mucus is normal, large amounts are worrisome and indicate something is wrong with the dog’s health.",https://www.veterinarians.org/mucus-in-dog-poop/
110,muscle atrophy,,Muscle atrophy is when there is a loss of muscle mass. It is noticeable when parts of your dog’s body appear weaker and thinner than usual. ,https://wagwalking.com/condition/atrophy-of-muscles
111,muscle pain,,"Muscle tears are direct or indirect traumatic injuries that cause damage to the structure of the muscle tissue. Clinical signs of muscle tears include pain on palpation (examination by touch during a physical exam) of the injured area, lameness or limping, swelling of the muscle, and bruising.","https://vcahospitals.com/know-your-pet/muscle-tears-in-dogs#:~:text=Muscle%20tears%20are%20treated%20immediately,the%20NSAID%20is%20not%20sufficient."
112,muscle paralysis,,"A dog’s ability to move around and perform its daily activities depends on the ability of the brain, spine, nerves and muscles to coordinate in assembly. ",https://www.petmd.com/dog/conditions/neurological/c_dg_paralysis
113,muscle spasms,,A muscle spasm is often easily noticeable as twitching or tremors in one area of your dog’s body. These are usually visible and can also be detected by touch.,https://wagwalking.com/condition/muscle-spasms
114,mydriasis,dilated pupil,"When one or both eyes dilate (when the pupil becomes larger), this is called mydriasis",https://vetster.com/en/symptoms/dog/dilated-pupils-mydriasis
115,myocarditis,"inflammation of the heart muscle, heart muscle inflammation","Myocarditis is the inflammation of the heart's muscular wall (or myocardium), often caused by infectious agents. ",https://www.petmd.com/dog/conditions/cardiovascular/c_dg_myocarditis
116,myositis,inflammation of the muscle,Myositis refers to a group of diseases that all share an inflammation of the muscle tissue. ,https://wagwalking.com/condition/myositis
117,nasal discharge,"nose discharge, serous nasal discharge, mucous nasal discharge, purulent nasal discharge","A nose discharge of mucus or pus could indicate your dog has a bacterial, fungal, or viral infection.",https://wagwalking.com/condition/nasal-discharge
118,nasopharyngeal,,"Nasopharyngeal stenosis is a narrowing of one of the four portions of the nasal cavity on either side of nasal septum. Any of the four portions can be affected, which include the common, inferior, middle, and superior portions. ",https://www.petmd.com/dog/conditions/respiratory/c_dg_nasopharyngeal_stenosis
119,nausea,,"The most common symptoms of nausea in dogs are lack of appetite, licking, restlessness, and excessive drooling. Nausea can make some dogs restless during which time they will pace and appear unable to get comfortable. ","https://www.petplace.com/article/dogs/pet-health/dog-health/dog-diseases-symptoms/symptoms-and-causes-of-nausea-in-dogs/#:~:text=Nausea%20in%20dogs%20can%20be,various%20infectious%20diseases%2C%20including%20parvovirus."
120,neck pain,,"Neck or back pain is discomfort along the spine. This pain may be mild and associated with subtle clinical signs, such as reluctance to jump or climb stairs. ",https://www.petplace.com/article/dogs/pet-health/neck-and-back-pain-in-dogs/
121,nodular lesions,,"Sterile nodular/granulomatous dermatoses are diseases in which the primary lesions are nodules, or masses of tissue that are solid, elevated, and greater than one centimeter in diameter.",https://www.petmd.com/dog/conditions/skin/c_dg_dermatoses_sterile_nodular_granulomatous
122,nystagmus,,Nystagmus in dogs refers to the flickering or twitching of the eyes.,"https://pets.webmd.com/dogs/what-to-know-nystagmus-in-dogs#:~:text=Nystagmus%20in%20dogs%20refers%20to,in%20the%20pet's%20body%20balance."
123,obtundation,,,
125,oliguria,,"Oliguria is the medical term for a condition in which an abnormally small amount of urine is produced by the body, with urine production at a rate of less than 0.25 milliliters per kilogram per hour. ",https://www.petmd.com/dog/conditions/urinary/c_multi_oliguria_anuria
126,optic neuritis,,"Optic neuritis refers to a condition in which one or both of the optic nerves are swollen, resulting in impaired visual function. The optic nerve, sometimes called the cranial nerve, is a nerve in the eye that takes visual information and transmits it to the brain.",https://www.petmd.com/dog/conditions/eyes/c_multi_optic_neuritis
127,oral ulceration,,Oral ulceration and chronic ulcerative paradental stomatitis (CUPS) is a disease of the mouth which causes painful ulcers on the gums and mucosal lining of the mouth cavity. ,https://www.petmd.com/dog/conditions/mouth/c_dg_oral_ulceration_cups
128,osteomyelitis,,Osteomyelitis is inflammation of the bone and/or bone marrow due to a bacterial or fungal infection. ,https://www.petmd.com/dog/conditions/musculoskeletal/c_dg_osteomyelitis
129,pale mucous membranes,"anemia, pale gums","Anemia is a medical term referring to a reduced number of circulating red blood cells (RBC's), hemoglobin (Hb or Hgb), or both. The most easily observed and common clinical sign of anemia is a loss of the normal pink color of the gums; they may appear pale pink to white when examined.",https://vcahospitals.com/know-your-pet/anemia-in-dogs
130,pallor,,"Pallor means paleness or loss of color. In pets, pallor is usually detected as a loss of color from the gums and inner eyelids.","https://vcahospitals.com/know-your-pet/testing-for-pallor#:~:text=What%20is%20pallor%3F,is%20a%20sign%20of%20illness."
131,papules,small inflamed bumps,"Lesions often look similar to pimples in humans. They are most often red and raised, with a white pus-filled center.",https://vcahospitals.com/know-your-pet/pyoderma-in-dogs
132,paralysis,,"When a dog is experiencing paralysis, it is often because communications between the spinal cord and the brain have been disrupted. The dog may not be able to move its legs, not able to urinate, not able ti control defecation, and constipation.",https://www.petmd.com/dog/conditions/neurological/c_dg_paralysis
133,parasites in stool,,"If you find worms in your pet’s poop or notice other symptoms, it’s time for a visit to the veterinarian. Whether you can see worms or not, bring a sample of your dog’s poop for testing. ",https://www.goodrx.com/pet-health/dog/worms-in-dog-poop
134,paresis,,"Paresis: muscular weakness. On the gait exam, this is characterized by scuffing of the nails, dragging of one or more limbs, a short-strided gait, or rapid tiring with activity/exercise. Paresis denotes dysfunction of the nervous or muscular systems.",https://www.dvm360.com/view/it-neuro-or-ortho-sorting-out-lameness-paresis-and-dogs-wont-get-proceedings
135,petechiae,"ecchymoses, ecchymosis, purpura bruises, hemorrhages under the skin, bleeding under the skin","Petechiae in dogs are small, pinpoint-sized red or purple spots found on the dog's skin or mucous membranes. The term derives from the Italian word ""petecchia,"" a term coined to depict a ""mini bruise."" These tiny red or purple spots are an indication of blood vessel leakage (i.e. bleeding under the skin). The white of the eyes, gums and skin (look inside the thigh or on the belly) are areas where the petechiae are often visible.",https://pethelpful.com/dogs/Causes-of-Petechiae-in-Dogs
136,pica,depraved appetite,"Pica is a condition in which dogs crave and eat non-food items. Some dogs may only eat one type of object, while others will eat a wide variety of items. Pica can endanger a dog’s health because what they swallow may be toxic, disrupt normal digestive process, or get lodged in their intestinal tract.",https://www.petmd.com/dog/general-health/what-causes-pica-dogs
137,pneumonia,,Pneumonia is an inflammation of the lungs and airways that causes breathing difficulties and deficiency of oxygen in the blood.,https://www.merckvetmanual.com/dog-owners/lung-and-airway-disorders-of-dogs/pneumonia-in-dogs
138,pollakiuria,,Pollakiuria refers to abnormally frequent urination.,https://www.petmd.com/dog/conditions/urinary/c_multi_dysuria_and_pollakiuria
140,polyarthiritis,,"Polyarthritis involves inflammation of multiple joints and is classified as infectious (septic arthritis) or noninfectious (erosive or nonerosive). Clinical signs of a polyarthritis include fever, lameness, swollen joints, lethargy, and inappetence.",https://www.msdvetmanual.com/musculoskeletal-system/arthropathies-and-related-disorders-in-small-animals/polyarthritis-in-dogs-and-cats
141,polydipsia,"increased thirst, excessive thirst, excessive fluid consumption",Polydipsia (Increased Thirst) is a condition where your dog ingests more water than needed.,https://www.petmd.com/dog/symptoms/why-my-dog-peeing-lot
142,polyuria,excessive urination,Very frequent urination with large amounts of urine is known as polyuria.,https://www.petmd.com/dog/symptoms/why-my-dog-peeing-lot
143,poor body condition,,,
144,postural deficits,,,
145,prolonged capillary refill time,,,
146,prostatic enlargement,,"If the prostate is very enlarged, the colon, located just above the prostate, may also become compressed, causing difficulty with passing bowel movements. Dogs with prostatic enlargement often have a history of straining to urinate or defecate.","https://vcahospitals.com/know-your-pet/prostatic-disease-in-dogs#:~:text=If%20the%20prostate%20is%20very,straining%20to%20urinate%20or%20defecate."
147,pruritus,"itching, itching skin",Pruritus is the medical term for itching. It is common in many skin disorders; itching and scratching are commonly associated with flea allergy dermatitis and other allergic skin diseases.,"https://vcahospitals.com/know-your-pet/pruritus-itching-and-scratching-in-dogs#:~:text=Pruritus%20is%20the%20medical%20term,and%20other%20allergic%20skin%20diseases."
148,pustules,pus-filled bumps,Papules and pustules are primary skin lesions that may lead to the formation of epidermal collarettes and crusts.,https://onlinelibrary.wiley.com/doi/10.1002/9781119414612.ch12
149,pyoderma,,"Pyoderma is defined as a bacterial skin infection. The most common clinical signs associated with pyoderma are papules or pustules that form on the skin. These lesions often look similar to pimples in humans. They are most often red and raised, with a white pus-filled center.",https://vcahospitals.com/know-your-pet/pyoderma-in-dogs
150,reduced mobility,,"Underlying diseases that may affect your pet’s mobility include arthritis, injury, degenerative neurologic diseases, certain types of cancer, and hearing loss.The most obvious sign of joint disease is when a dog starts limping, usually right after they have been resting or lying down.",https://www.petmd.com/dog/conditions/my-pet-moving-less-whats
151,refractory colitis,, ,
152,reluctant to move,"reluctance to walk, reluctant to walk, refusal to move","Dogs can experience paralysis due to multiple issues at any stage in life. If you notice that your dog no longer has the ability to move his legs or has a difficult time walking around, you will want to get him to the vet as soon as possible in order to diagnose the underlying issue. ",https://wagwalking.com/symptom/why-is-my-dog-unable-to-move
153,renal failure,,Renal failure (also referred to as kidney failure) can be caused by many conditions that negatively affect the health and functioning of the kidneys and its related organs.,https://www.wcrah.com/site/blog-flat-rock-vet/2021/05/17/renal-failure-dogs
154,retinal detachment,,Retinal detachment refers to its separation from the back of the eyeball. Dogs experiencing a detached retina may show signs of blindness or reduced vision.,https://www.petmd.com/dog/conditions/eyes/c_multi_retinal_detachment
155,retinitis,,,
156,reverse sneezing,,"Some dogs have a condition known as paroxysmal respiration, more commonly called reverse sneezing. With this condition, the dog rapidly pulls air into the nose, whereas in a regular sneeze, the air is rapidly pushed out through the nose. The dog makes a snorting sound and seems to be trying to inhale while sneezing.",https://vcahospitals.com/know-your-pet/reverse-sneeze-in-dogs
157,rhinitis,,Canine rhinitis causes inflammation in a dog’s nasal cavity (specifically in the mucous membranes).,https://betterpet.com/rhinitis-in-dogs/
158,scaling,,"Scales may be seen as fine particles, such as dandruff, or in sheets (coarse scale).",https://www.petmd.com/dog/conditions/skin/c_dg_scaling_skin
159,scooting,,Scooting is when a dog drags its anus along the ground -- is almost always a sign something is irritating your dog. ,https://pets.webmd.com/dogs/dog-dragging-bottom
160,scratching,,"Dogs scratch, lick, or chew for a wide variety of reasons, ranging from allergies to boredom to parasite infestation",https://pets.webmd.com/dogs/guide/dogs-and-compulsive-scratching-licking-and-chewing
161,seizures,,"A seizure may also be called a convulsion or fit, referring to a temporary involuntary disturbance of normal brain function that is usually accompanied by uncontrollable muscle activity.","https://vcahospitals.com/know-your-pet/seizures-general-for-dogs#:~:text=Idiopathic%20epilepsy%2C%20the%20most%20common,%2C%20brain%20trauma%2C%20and%20toxins."
162,shock,,"Shock is a complex, whole-body reaction to various situations, typically caused by a lack of effective circulation, decreased oxygen, and/or decreased energy usage within cells.",https://www.petmd.com/dog/conditions/traumatic/shock-dogs
163,sinus tract,,,
165,skin pain,,"A skin ulcer is a deep lesion that can be caused by a variety of factors, ranging from bug bites to cancer. ",https://wagwalking.com/condition/skin-ulcers
166,sneezing,,"Sneezing can be a normal occurrence in dogs, but in certain situations, you may wonder if excessive sneezing is a cause for concern.",https://www.petmd.com/dog/symptoms/why-my-dog-sneezing
167,spinal pain,,,
168,splenomegaly,"hepatomegaly, hepatosplenomegaly, enlarged spleen",Splenomegaly is a generalized term that simply means enlargement of the spleen.,https://lbah.com/feline/spleen-disease/
169,stertor,"snoring, abnormal upper airway breathing sounds, stridor, airflow obstruction, wheezing",Stertor is an inspiratory snoring or gasp.,https://wagwalking.com/condition/noisy-breathing?page=2
170,stiffness,lameness,Lameness refers to an inability to properly use one or more limbs. It is most often associated with pain or injury. ,"https://vcahospitals.com/know-your-pet/lameness-in-dogs#:~:text=What%20is%20lameness%3F,%2C%20bone%20fracture%2C%20or%20dislocation."
171,stranguria,"slow and painful urination, straining to pass urine, straining to urinate with only a small amount of urine production, difficulty in urination",Straining to urinate (stranguria) in dogs is a serious symptom indicating some degree of disruption of urine flow.,https://vetster.com/en/symptoms/dog/straining-to-urinate-stranguria
172,stridor,,"Stridor is is a raspy, wheezing, or vibrating sound upon inhalation (most common) and exhalation.",https://wagwalking.com/condition/noisy-breathing?page=2
173,swelling,,"Facial swelling in dogs can have dozens of causes, from dog bites to dental problems. The swelling can be a fairly benign reaction or it can require emergency care.",https://pets.webmd.com/dogs/my_dog_has_swollen_face
174,swollen glands,,"Swollen lymph nodes can sometimes be detected by pet parents at home. If you’re petting your dog and feel a new or unusual bump, it may be a swollen lymph node.",https://www.petmd.com/dog/conditions/cancer/c_multi_lymphadenopathy
175,syncope,,Syncope (or fainting) is defined as a temporary loss of consciousness that occurs when the brain does not receive enough oxygen.,https://vcahospitals.com/know-your-pet/syncope-fainting-in-dogs
176,synechiae,,Synechiae are adhesions between the iris and other structures in the eye. They are the result of inflammation in the iris and are particularly common with anterior uveitis (inflammation of the dark tissues of the eye) and trauma to the eye.,https://www.petmd.com/dog/conditions/eyes/c_dg_synechiae_eye_problems_in_dogs
177,tachycardia,"increased high heart rate, high heart rate, rapid pulse",Tachycardia is defined as an abnormally rapid heart rate.,https://wagwalking.com/condition/rapid-heart-rate
178,tachypnea,"polypnea, tachypnea, hypernea, increased respiratory rate",Excessive and rapid breathing while resting is called tachypnea,https://wagwalking.com/symptom/why-is-my-dog-breathing-fast-while-resting
179,tenesmus,,Tenesmus is a symptom of large intestinal disease but in particular it is associated with conditions of the rectum and/or anus,"https://bvajournals.onlinelibrary.wiley.com/doi/abs/10.1136/inpract.18.6.280#:~:text=IN%20general%2C%20tenesmus%20is%20a,the%20colon%2C%20rectum%20and%20anus.&text=canine%20exocrine%20pancreatic%20disease."
180,tick infestation,,"Ticks are blood-sucking parasites that attach themselves to animals and people. Heavy infestations will not only severely damage the skin, but the chances of anemia, paralysis, and other complications are high.","https://www.msdvetmanual.com/dog-owners/skin-disorders-of-dogs/ticks-of-dogs#:~:text=If%20your%20dog%20is%20severely,and%20other%20complications%20are%20high."
181,tongue ulcer,lingual ulcer,"Inflammation of the tongue is called glossitis. It may be due to infection, irritation, wounds, disease, chemicals, or other causes such as electrical burns or insect stings",https://www.msdvetmanual.com/dog-owners/digestive-disorders-of-dogs/disorders-of-the-mouth-in-dogs
182,tracheal sensitivity,,"The most common clinical sign is a persistent, dry, harsh cough. It is sometimes described as a ‘goose honk’ cough. ","https://vcahospitals.com/know-your-pet/tracheal-collapse-in-dogs#:~:text=The%20most%20common%20clinical%20sign,immediately%20after%20eating%20or%20drinking."
183,tremors,,"Tremors are rhythmic, repetitive, and involuntary muscle movements that look like shaking.",https://vcahospitals.com/know-your-pet/shaker-syndrome-in-dogs
184,ulceration,,"The symptoms of a canine ulcer are varied and include decreased appetite, frequent burping or regurgitation, lip licking and drooling, vomiting with fresh or digested/dark blood, weight loss, abdominal pain, and dark, tarry stool (called melena). Of these, about 90% of dogs will present with vomiting. ",https://www.whole-dog-journal.com/health/canine-ulcers-symptoms-causes-diagnosis-and-treatments/
185,unilateral nasal discharge,pawing at the face and discharge from one nostril,Pawing at the face and discharge from one nostril often suggests the presence of a foreign object.,"https://www.msdvetmanual.com/dog-owners/lung-and-airway-disorders-of-dogs/rhinitis-and-sinusitis-in-dogs#:~:text=Pawing%20at%20the%20face%20and,of%20the%20upper%20respiratory%20passages."
186,urinary incontinence,"dribbling urine, inappropriate urination","Urinary incontinence is when your dog involuntarily loses control of their bladder. This can occur across a range of severity, from small leaks to large amounts of urine. ","https://pets.webmd.com/dogs/urinary-incontinence-dogs#:~:text=Urinary%20incontinence%20is%20when%20your,to%20large%20amounts%20of%20urine."
187,uveitis,,"Uveitis is an inflammation of one or more of the structures making up the uvea. The uvea is the part of the eye made up of the iris (the thin, circular structure in the eye that gives the eye its color and controls the size of the pupil).",https://vcahospitals.com/know-your-pet/uveitis-in-dogs
188,vomiting,,Vomiting is when your dog forcefully ejects the contents of the stomach or the upper intestine.,https://pets.webmd.com/dogs/vomiting-dogs-causes-treatment
189,warts,,"Papillomas sounds like a serious disease, but it’s actually just the medical term for warts. Warts are a collection of abnormal cells that grow on the body. The papillomas viruses cause skin and mouth growths that resemble a cauliflower.",https://www.caninecampus.us/signs-causes-and-treatments-for-canine-papillomas-warts
190,weak or bounding peripheral pulses,"weak pulse, small pulse, absent pulse","A ""weak"" pulse due to reduced pulse pressure can be attributable to reduced systolic pressure (e.g., low cardiac output with heart disease, hypovolaemia, haemorrhage). A ""bounding"" pulse may be attributable to increased systolic pressure (e.g., sympathetic stimulation) or reduced diastolic pressure (e.g., patent ductus arteriosus).",https://www.vin.com/apputil/content/defaultadv1.aspx?pId=11372&meta=generic&catId=35290&id=5709745&ind=29&objTypeID=17
191,weakness,"paresis, paralysis","Pets that feel weak often have difficulty getting on their feet and move slowly or unsteadily. Other signs include shaky muscles, fainting, or collapse.",https://vcahospitals.com/know-your-pet/testing-for-weakness
192,weight loss,,Weight loss is considered to be clinically significant when it exceeds 10% of the normal body weight and when it is not associated with fluid loss or dehydration.,https://vcahospitals.com/know-your-pet/weight-loss-abnormal-in-dogs
